Incident Address Display,Borough,Community Board,Police Precinct,Status,Resolution Action
1 ALLEN STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
1 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
1 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched. No graffiti on property.
1 AVENUE F,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
1 CARLTON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
1 CONVENT AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,Closed,Cleaning crew dispatched.  Property cleaned.
1 DAVIS AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,Closed,Cleaning crew dispatched.  Property cleaned.
1 DOYERS STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
1 EAST 118 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
1 EAST 198 STREET,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
1 EAST 3 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
1 EAST END AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1 EAST THIRD STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
1 EAST TREMONT AVENUE,BRONX,05 BRONX,Precinct 46,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
1 HARRISON PLACE,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
1 MONTGOMERY PLACE,BROOKLYN,06 BROOKLYN,Precinct 78,Closed,Cleaning crew dispatched.  Property cleaned.
1 PORTAL STREET,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Site downloaded for cleaning
1 POWERS STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
1 PROSPECT PARK WEST,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Site downloaded for cleaning
1 PUTNAM AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
1 SOUTH ELLIOTT PLACE,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
1 SYLVAN TERRACE,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
1 WEST 28 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,Open,Site downloaded for cleaning
10 5 AVENUE,MANHATTAN,02 MANHATTAN,Precinct 6,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
10 ALLEN STREET,MANHATTAN,03 MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
10 BENNETT AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
10 CARMEL AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,Open,Unspecified
10 COVERT STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Site downloaded for cleaning
10 DOYERS STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
10 EAST 198 STREET,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
10 EAST 64 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Open,Site downloaded for cleaning
10 FT WASHINGTON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched. No graffiti on property.
10 GRATTAN STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Site downloaded for cleaning
10 HOLLAND AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,Open,Unspecified
10 JAVA STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
